Região,Date,População,Adults with a banking relationship (million),Bancarização,PIB,Crédito,Depósito,Taxa IPCA,Nível Crédito,Nível Depósito
Central-West,2014,15219608.0,10000000.0,0.6570471460237346,711161347.3141161,5888598816881.59,7904842449065.207,247.76504905881868,8280.257130286114,11115.399450377723
Northeast,2014,56186190.0,31000000.0,0.5517370015656873,1055144795.8023279,3611718746800.443,3766284661420.085,247.76504905881868,3422.960300016555,3569.448170908351
North,2014,17231027.0,8000000.0,0.4642787687582406,403758790.7089774,997738354481.1852,887558803520.1307,247.76504905881868,2471.1247840058504,2198.2401967313904
Southeast,2014,85115623.0,61000000.0,0.7166721907210853,4160678260.702273,35158728429727.176,51101227244185.92,247.76504905881868,8450.239654866464,12281.946366014046
South,2014,29016114.0,21000000.0,0.7237357835029185,1243022484.7667134,6234557819006.687,5852453746235.13,247.76504905881868,5015.643639122722,4708.244475025325
Central-West,2015,15442232.0,10000000.0,0.6475747806405188,686547688.562136,5680929832518.214,7857468257020.498,274.2015797933946,8274.632523220651,11444.897984401789
Northeast,2015,56560081.0,32000000.0,0.5657700525570323,1004905643.0513707,3696598199759.2617,3453227775614.271,274.2015797933946,3678.5525340813433,3436.3701701670534
North,2015,17472636.0,9000000.0,0.5150911402263516,379765878.98407346,1001917470126.849,796545343433.8002,274.2015797933946,2638.2503683772684,2097.464220757983
Southeast,2015,85745520.0,63000000.0,0.7347322635631576,3835382061.182174,38537590160188.695,46259613085736.73,274.2015797933946,10047.914274363142,12061.278993279275
South,2015,29230180.0,21000000.0,0.7184355347794642,1193736431.7164989,5798859710747.22,5330352776643.281,274.2015797933946,4857.738740878434,4465.267738355488
Central-West,2016,15660988.0,10000000.0,0.6385293188399097,705332124.7992003,5439912971242.677,8189432546366.856,291.4488591623991,7712.555234587331,11610.746566659347
Northeast,2016,56915936.0,33000000.0,0.5798024651654679,1000902331.6127907,3675574676864.6235,3399294474129.198,291.4488591623991,3672.2610796020776,3396.229948482376
North,2016,17707783.0,9000000.0,0.5082510893656196,375802293.1150731,962570126431.2352,772439076176.7238,291.4488591623991,2561.3737437639584,2055.4400287818307
Southeast,2016,86356952.0,62000000.0,0.7179503046842135,3713694180.004278,36557939645237.375,46146487413377.23,291.4488591623991,9844.089974364895,12426.0332640864
South,2016,29439773.0,21000000.0,0.7133207175204782,1189188383.4482257,5512926058449.671,5387243531563.07,291.4488591623991,4635.872781118274,4530.18513008172
Central-West,2017,15875907.0,11000000.0,0.6928737992733266,714001585.2730181,5137455610418.167,9095721098291.96,300.0466005076899,7195.300005466682,12739.07689548611
Northeast,2017,57254159.0,34000000.0,0.5938433223689479,1031582859.2076155,3565079647308.2856,3762372639623.972,300.0466005076899,3455.931450864463,3647.184136535522
North,2017,17936201.0,9000000.0,0.5017784981334676,398106143.63011044,937382287395.1903,847125916331.5487,300.0466005076899,2354.6039225813447,2127.88958393627
Southeast,2017,86949714.0,63000000.0,0.7245567248214295,3766942947.44812,33864008417622.953,45705337614965.17,300.0466005076899,8989.785321958168,12133.27046695194
South,2017,29644948.0,22000000.0,0.7421163295681948,1213941265.2225008,5040520007361.747,5616367348226.782,300.0466005076899,4152.194304423682,4626.55608564173
