Data;14093 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Total - R$ (milhões);14094 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Total - R$ (milhões);14095 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Total - R$ (milhões);14096 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sudeste - Total - R$ (milhões);14097 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sul - Total - R$ (milhões)
01/2004;12.156 ;37.704 ;34.050 ;216.845 ;69.060
02/2004;12.127 ;38.142 ;34.877 ;217.283 ;70.332
03/2004;12.675 ;38.459 ;35.560 ;218.341 ;71.339
04/2004;12.831 ;39.325 ;35.979 ;222.592 ;73.051
05/2004;13.316 ;40.399 ;36.241 ;229.802 ;74.787
06/2004;13.572 ;41.435 ;36.788 ;233.203 ;75.121
07/2004;13.724 ;41.743 ;37.237 ;235.856 ;76.101
08/2004;13.815 ;41.722 ;38.647 ;237.302 ;77.375
09/2004;13.992 ;42.512 ;39.836 ;240.081 ;79.064
10/2004;14.251 ;43.022 ;41.291 ;246.269 ;81.623
11/2004;14.453 ;43.504 ;42.693 ;247.652 ;83.253
12/2004;14.627 ;44.837 ;43.825 ;248.810 ;85.625
01/2005;14.796 ;45.672 ;44.611 ;252.258 ;86.999
02/2005;14.972 ;46.203 ;45.284 ;255.614 ;88.554
03/2005;15.190 ;46.346 ;45.802 ;258.446 ;90.325
04/2005;15.524 ;47.227 ;46.371 ;262.844 ;91.902
05/2005;15.718 ;48.120 ;46.486 ;262.741 ;91.836
06/2005;16.182 ;48.474 ;46.709 ;266.702 ;92.855
07/2005;16.727 ;49.354 ;47.060 ;271.216 ;93.859
08/2005;16.936 ;50.163 ;47.632 ;274.816 ;94.466
09/2005;17.069 ;50.928 ;48.198 ;277.130 ;95.249
10/2005;17.175 ;51.814 ;49.065 ;283.169 ;97.633
11/2005;17.354 ;53.146 ;50.535 ;288.286 ;100.530
12/2005;18.043 ;54.806 ;51.774 ;296.951 ;103.796
01/2006;18.229 ;55.210 ;52.402 ;298.413 ;103.910
02/2006;18.567 ;56.493 ;53.272 ;303.054 ;105.253
03/2006;18.722 ;57.792 ;53.876 ;307.093 ;106.937
04/2006;19.080 ;59.125 ;54.788 ;313.302 ;108.805
05/2006;19.672 ;60.296 ;55.577 ;321.762 ;110.684
06/2006;20.262 ;61.805 ;55.752 ;324.721 ;113.164
07/2006;20.718 ;62.899 ;56.210 ;331.410 ;113.660
08/2006;21.114 ;64.275 ;56.945 ;331.844 ;114.713
09/2006;21.858 ;65.734 ;58.409 ;338.383 ;116.816
10/2006;22.304 ;66.253 ;59.694 ;345.173 ;118.897
11/2006;22.921 ;68.067 ;61.603 ;355.325 ;123.087
12/2006;23.140 ;69.344 ;62.705 ;366.862 ;126.011
01/2007;23.420 ;70.055 ;63.490 ;370.840 ;127.243
02/2007;23.842 ;71.331 ;64.494 ;376.187 ;129.486
03/2007;24.048 ;72.508 ;65.615 ;382.236 ;130.151
04/2007;24.619 ;72.870 ;66.292 ;390.868 ;133.149
05/2007;25.243 ;74.671 ;67.604 ;396.480 ;135.299
06/2007;25.887 ;76.452 ;69.239 ;405.533 ;137.740
07/2007;26.474 ;78.159 ;70.648 ;413.960 ;140.727
08/2007;27.194 ;80.291 ;72.695 ;427.892 ;145.063
