Date;24964 - Number of authorized credit unions in the Central-West region - Units;24965 - Number of authorized credit unions in the Northeast region - Units;24966 - Number of authorized credit unions in the North region - Units;24967 - Number of authorized credit unions in the Southeast region - Units;24968 - Number of authorized credit unions in the South region - Units;24976 - Number of credit unions banking service outposts in the Central-West region - Units;24977 - Number of credit unions banking service outposts in the Northeast region - Units;24978 - Number of credit unions banking service outposts in the North region - Units;24979 - Number of credit unions banking service outposts in the Southeast region - Units;24980 - Number of credit unions banking service outposts in the South region - Units
2005;114 ;146 ;76 ;707 ;358 ;143 ;57 ;26 ;535 ;916
2006;116 ;145 ;77 ;709 ;370 ;156 ;61 ;32 ;603 ;1,000
2007;122 ;150 ;79 ;708 ;382 ;170 ;64 ;33 ;671 ;1,094
2008;125 ;152 ;79 ;685 ;398 ;188 ;68 ;37 ;763 ;1,205
2009;122 ;146 ;80 ;654 ;393 ;203 ;73 ;42 ;868 ;1,341
2010;118 ;142 ;79 ;628 ;396 ;220 ;97 ;49 ;935 ;1,475
2011;109 ;132 ;75 ;603 ;388 ;243 ;115 ;57 ;1,017 ;1,576
2012;100 ;117 ;69 ;583 ;382 ;268 ;132 ;74 ;1,070 ;1,691
2013;95 ;106 ;66 ;558 ;364 ;313 ;146 ;90 ;1,177 ;1,846
2014;92 ;97 ;60 ;539 ;356 ;337 ;168 ;123 ;1,274 ;1,987
2015;89 ;97 ;49 ;515 ;346 ;361 ;195 ;150 ;1,373 ;2,103
2016;85 ;92 ;45 ;502 ;328 ;400 ;219 ;184 ;1,464 ;2,257
2017;82 ;82 ;45 ;489 ;308 ;452 ;263 ;205 ;1,621 ;2,427
2018;81 ;78 ;43 ;474 ;286 ;500 ;308 ;220 ;1,751 ;2,608
2019;78 ;69 ;36 ;453 ;275 ;573 ;299 ;253 ;2,081 ;2,848
2020;77 ;66 ;34 ;444 ;274 ;605 ;310 ;272 ;2,143 ;2,914
Source;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad
