Date;24982 - Number of credit unions electronic service outposts in the Central-West region - Units;24983 - Number of credit unions electronic  service outposts in the Northeast region - Units;24984 - Number of credit unions electronic  service outposts in the North region - Units;24985 - Number of credit unions electronic  service outposts in the Southeast region - Units;24986 - Number of credit unions electronic  service outposts in the South region - Units;24988 - Number of credit unions correspondents in the Central-West region - Units;24989 - Number of credit unions correspondents in the Northeast region - Units;24990 - Number of credit unions correspondents in the North region - Units;24991 - Number of credit unions correspondents in the Southeast region - Units;24992 - Number of credit unions correspondents in the South region - Units
2005;-;-;-;38 ;-;1 ;0 ;0 ;7 ;12
2006;-;-;-;40 ;-;3 ;1 ;0 ;18 ;12
2007;2 ;-;-;125 ;-;6 ;1 ;1 ;72 ;29
2008;5 ;-;-;194 ;-;203 ;1 ;3 ;101 ;693
2009;7 ;1 ;-;227 ;-;256 ;2 ;5 ;123 ;1,270
2010;8 ;2 ;1 ;288 ;-;276 ;4 ;8 ;157 ;1,667
2011;10 ;2 ;1 ;375 ;-;341 ;4 ;24 ;195 ;1,986
2012;12 ;3 ;1 ;485 ;-;370 ;5 ;45 ;232 ;2,267
2013;16 ;4 ;1 ;598 ;-;369 ;9 ;55 ;252 ;2,397
2014;16 ;4 ;2 ;666 ;-;380 ;21 ;58 ;239 ;2,476
2015;16 ;5 ;2 ;759 ;-;378 ;26 ;61 ;246 ;2,687
2016;16 ;5 ;2 ;841 ;-;344 ;17 ;61 ;198 ;2,519
2017;16 ;6 ;2 ;884 ;2 ;178 ;29 ;67 ;193 ;1,821
2018;16 ;6 ;3 ;883 ;2 ;244 ;57 ;89 ;231 ;2,249
2019;16 ;4 ;3 ;873 ;2 ;255 ;55 ;90 ;305 ;2,836
2020;18 ;4 ;3 ;875 ;2 ;245 ;56 ;90 ;353 ;2,988
Source;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad
