Date;24994 - Number of branches of finance companies in the Central-West region - Units;24995 - Number of branches of finance companies in the Northeast region - Units;24996 - Number of branches of finance companies in the North region - Units;24997 - Number of branches of finance companies in the Southeast region - Units;24998 - Number of branches of finance companies in the South region - Units;25000 - Number of banking services outpost of finance companies in the Central-West region - Units;25001 - Number of banking services outpost of finance companies in the Northeast region - Units;25002 - Number of banking services outpost of finance companies in the North region - Units;25003 - Number of banking services outpost of finance companies in the Southeast region - Units;25004 - Number of banking services outpost of finance companies in the South region - Units
2005;4 ;1 ;-;48 ;19 ;-;-;-;-;-
2006;6 ;6 ;2 ;67 ;23 ;-;-;-;-;-
2007;6 ;7 ;2 ;70 ;24 ;-;-;-;-;-
2008;6 ;12 ;2 ;76 ;26 ;-;-;-;-;-
2009;6 ;12 ;2 ;77 ;26 ;-;-;-;-;-
2010;6 ;15 ;2 ;78 ;30 ;-;-;-;-;-
2011;7 ;16 ;2 ;80 ;30 ;2 ;-;-;-;-
2012;7 ;20 ;2 ;83 ;33 ;3 ;-;-;-;-
2013;10 ;24 ;2 ;94 ;38 ;4 ;-;-;1 ;-
2014;10 ;25 ;2 ;98 ;39 ;5 ;-;-;6 ;3
2015;10 ;27 ;2 ;99 ;41 ;5 ;-;-;11 ;3
2016;10 ;27 ;2 ;101 ;43 ;5 ;-;-;17 ;4
2017;11 ;27 ;2 ;103 ;46 ;6 ;2 ;-;21 ;4
2018;11 ;27 ;2 ;105 ;44 ;6 ;6 ;-;27 ;5
2019;12 ;29 ;2 ;108 ;44 ;6 ;12 ;-;35 ;4
2020;12 ;14 ;2 ;80 ;45 ;6 ;7 ;-;33 ;4
Source;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad
