Date;25006 - Number of electronic service outposts of finance companies in the Central-West region - Units;25007 - Number of electronic service outposts of finance companies in the Northeast region - Units;25008 - Number of electronic service outposts of finance companies in the North region - Units;25009 - Number of electronic service outposts of finance companies in the Southeast region - Units;25010 - Number of electronic service outposts of finance companies in the South region - Units;25012 - Number of microentrepreneur, and small business credit companies correspondents in the Central-West region - Units;25013 - Number of microentrepreneur, and small business credit companies correspondents in the Northeast region - Units;25014 - Number of microentrepreneur, and small business credit companies correspondents in the North region - Units;25015 - Number of microentrepreneur, and small business credit companies correspondents in the Southeast region - Units;25016 - Number of microentrepreneur, and small business credit companies correspondents in the South region - Units
2005;1,391 ;1,683 ;267 ;10,364 ;5,458 ;16 ;15 ;7 ;70 ;12
2006;1,484 ;1,911 ;416 ;11,242 ;6,013 ;44 ;165 ;16 ;407 ;141
2007;1,849 ;2,376 ;560 ;13,417 ;6,945 ;44 ;165 ;16 ;387 ;171
2008;3,221 ;4,950 ;1,132 ;25,117 ;12,358 ;43 ;190 ;14 ;416 ;167
2009;3,240 ;4,870 ;1,138 ;25,196 ;12,605 ;37 ;217 ;13 ;364 ;158
2010;3,024 ;4,574 ;1,177 ;23,712 ;12,121 ;22 ;33 ;13 ;113 ;17
2011;3,241 ;5,062 ;1,300 ;23,165 ;12,144 ;19 ;28 ;11 ;115 ;16
2012;3,050 ;4,975 ;1,193 ;23,396 ;11,662 ;22 ;33 ;15 ;145 ;22
2013;2,736 ;4,125 ;1,089 ;20,570 ;10,696 ;28 ;42 ;15 ;180 ;28
2014;2,614 ;4,172 ;1,016 ;19,819 ;10,904 ;31 ;47 ;16 ;194 ;35
2015;2,625 ;4,311 ;966 ;19,938 ;11,066 ;33 ;58 ;18 ;210 ;51
2016;2,803 ;4,514 ;1,102 ;20,972 ;11,946 ;35 ;69 ;20 ;247 ;63
2017;2,796 ;4,481 ;1,149 ;20,820 ;11,676 ;43 ;75 ;17 ;272 ;64
2018;3,271 ;4,929 ;1,220 ;22,213 ;11,987 ;1 ;1 ;0 ;17 ;1
2019;3,432 ;5,235 ;1,387 ;22,630 ;12,305 ;1 ;1 ;0 ;21 ;1
2020;3,320 ;5,213 ;1,351 ;22,854 ;12,126 ;1 ;1 ;0 ;21 ;1
Source;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad
