Date;25128 - Adults with a banking relationship - Central-West - Units (million);25129 - Adults with a banking relationship - Northeast - Units (million);25130 - Adults with a banking relationship - North - Units (million);25131 - Adults with a banking relationship - Southeast - Units (million);25132 - Adults with a banking relationship - South - Units (million)
2005;6 ;16 ;4 ;41 ;14
2006;6 ;17 ;4 ;43 ;15
2007;7 ;19 ;5 ;46 ;15
2008;7 ;21 ;5 ;48 ;16
2009;8 ;22 ;6 ;50 ;17
2010;8 ;24 ;6 ;53 ;18
2011;9 ;26 ;7 ;55 ;18
2012;9 ;27 ;7 ;57 ;19
2013;9 ;29 ;8 ;59 ;20
2014;10 ;31 ;8 ;61 ;21
2015;10 ;32 ;9 ;63 ;21
2016;10 ;33 ;9 ;62 ;21
2017;11 ;34 ;9 ;63 ;22
2018;11 ;36 ;10 ;65 ;22
2019;11 ;37 ;10 ;67 ;23
Source;BCB-Depef;BCB-Depef;BCB-Depef;BCB-Depef;BCB-Depef
