Date;24882 - Number of headquarters of authorized financial institutions in the Central-West region - Units;24883 - Number of headquarters of authorized financial institutions in the Northeast region - Units;24884 - Number of headquarters of authorized financial institutions in the North region - Units;24885 - Number of headquarters of authorized financial institutions in the Southeast region - Units;24886 - Number of headquarters of authorized financial institutions in the South region - Units;24888 - Number of branches of financial institutions in the Central-West region - Units;24889 - Number of branches of financial institutions in the Northeast region - Units;24890 - Number of branches of financial institutions in the North region - Units;24891 - Number of branches of financial institutions in the Southeast region - Units;24892 - Number of branches of financial institutions in the South region - Units
2005;125 ;167 ;85 ;920 ;402 ;1,040 ;1,975 ;572 ;5,723 ;2,543
2006;127 ;165 ;86 ;929 ;416 ;1,073 ;2,089 ;607 ;6,749 ;2,651
2007;133 ;171 ;89 ;928 ;427 ;1,103 ;2,131 ;625 ;7,020 ;2,756
2008;137 ;175 ;88 ;906 ;444 ;1,146 ;2,188 ;654 ;7,233 ;2,885
2009;133 ;169 ;89 ;871 ;443 ;1,256 ;2,422 ;716 ;8,884 ;3,109
2010;128 ;163 ;88 ;848 ;451 ;1,310 ;2,527 ;746 ;9,196 ;3,201
2011;119 ;155 ;85 ;823 ;442 ;1,399 ;2,831 ;865 ;9,643 ;3,369
2012;110 ;139 ;78 ;798 ;438 ;1,476 ;3,042 ;939 ;10,001 ;3,544
2013;105 ;128 ;74 ;770 ;420 ;1,613 ;3,194 ;982 ;10,359 ;3,668
2014;101 ;121 ;68 ;743 ;413 ;1,648 ;3,291 ;1,014 ;10,542 ;3,717
2015;98 ;121 ;57 ;714 ;403 ;1,664 ;3,320 ;1,047 ;10,618 ;3,742
2016;94 ;113 ;53 ;705 ;383 ;1,733 ;3,380 ;1,091 ;10,907 ;3,908
2017;93 ;101 ;53 ;692 ;365 ;1,754 ;3,487 ;1,120 ;11,084 ;3,963
2018;94 ;97 ;51 ;679 ;343 ;1,752 ;3,438 ;1,118 ;10,960 ;3,921
2019;89 ;86 ;44 ;668 ;333 ;1,688 ;3,299 ;1,113 ;10,410 ;3,803
2020;88 ;84 ;42 ;659 ;334 ;1,683 ;3,268 ;1,107 ;10,172 ;3,774
Source;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad
