Date;24894 - Number of banking service outposts  of financial institutions in the Central-West region - Units;24895 - Number of banking service outposts  of financial institutions in the Northeast region - Units;24896 - Number of banking service outposts  of financial institutions in the North region - Units;24897 - Number of banking service outposts  of financial institutions in the Southeast region - Units;24898 - Number of banking service outposts  of financial institutions in the South region - Units;24900 - Number of electronic service outposts  of financial institutions in the Central-West region - Units;24901 - Number of electronic service outposts  of financial institutions in the Northeast region - Units;24902 - Number of electronic service outposts  of financial institutions in the North region - Units;24903 - Number of electronic service outposts  of financial institutions in the Southeast region - Units;24904 - Number of electronic service outposts  of financial institutions in the South region - Units
2005;290 ;403 ;150 ;1,348 ;1,324 ;1,138 ;2,347 ;774 ;5,539 ;1,994
2006;324 ;474 ;168 ;1,661 ;1,447 ;1,215 ;2,518 ;841 ;5,858 ;2,093
2007;356 ;524 ;194 ;1,835 ;1,603 ;1,313 ;2,680 ;897 ;6,297 ;2,283
2008;483 ;913 ;310 ;2,230 ;1,878 ;1,567 ;3,375 ;1,097 ;7,192 ;2,692
2009;554 ;1,089 ;362 ;3,045 ;2,139 ;1,743 ;3,787 ;1,218 ;8,647 ;3,097
2010;599 ;1,194 ;425 ;3,272 ;2,345 ;1,909 ;4,093 ;1,366 ;9,370 ;3,486
2011;634 ;1,284 ;448 ;3,466 ;2,468 ;2,293 ;4,883 ;1,661 ;10,633 ;4,162
2012;803 ;1,660 ;550 ;4,202 ;2,835 ;2,582 ;5,376 ;1,831 ;11,563 ;4,549
2013;876 ;1,726 ;587 ;4,713 ;3,061 ;2,924 ;5,843 ;2,039 ;12,749 ;5,257
2014;940 ;1,820 ;638 ;4,945 ;3,251 ;2,811 ;5,759 ;2,106 ;12,769 ;4,961
2015;1,011 ;1,990 ;704 ;5,364 ;3,478 ;2,751 ;5,716 ;2,136 ;12,765 ;5,039
2016;1,112 ;2,149 ;795 ;5,870 ;3,827 ;2,790 ;5,790 ;2,374 ;13,213 ;5,249
2017;1,254 ;2,434 ;895 ;6,768 ;4,303 ;2,906 ;6,120 ;2,647 ;13,964 ;5,599
2018;1,292 ;2,491 ;907 ;6,738 ;4,468 ;2,762 ;5,816 ;2,551 ;13,639 ;5,625
2019;1,407 ;2,589 ;932 ;7,530 ;4,752 ;2,763 ;5,788 ;2,537 ;13,544 ;5,619
2020;1,440 ;2,612 ;946 ;7,673 ;4,834 ;2,754 ;5,784 ;2,530 ;13,428 ;5,580
Source;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad
