Date;24906 - Number of correspondents of financial institutions in the Central-West region - Units;24907 - Number of correspondents of financial institutions in the Northeast region - Units;24908 - Number of correspondents of financial institutions in the North region - Units;24909 - Number of correspondents of financial institutions in the Southeast region - Units;24910 - Number of correspondents of financial institutions in the South region - Units;24912 - Number of ATMs of financial institutions in the Central-West region - Units;24913 - Number of ATMs of financial institutions in the Northeast region - Units;24914 - Number of ATMs of financial institutions in the North region - Units;24915 - Number of ATMs of financial institutions in the Southeast region - Units;24916 - Number of ATMs of financial institutions in the South region - Units
2005;8,095 ;21,366 ;3,416 ;48,840 ;19,880 ;-;-;-;-;-
2006;9,547 ;25,525 ;4,282 ;57,918 ;24,277 ;8,562 ;18,846 ;4,663 ;50,297 ;15,412
2007;11,449 ;30,336 ;5,313 ;67,263 ;30,947 ;11,658 ;22,696 ;6,621 ;85,951 ;26,236
2008;12,996 ;33,629 ;6,265 ;69,012 ;34,049 ;11,956 ;24,224 ;6,875 ;88,899 ;27,335
2009;14,756 ;39,355 ;7,314 ;78,189 ;40,202 ;12,861 ;25,326 ;7,675 ;91,547 ;28,190
2010;15,493 ;43,311 ;8,258 ;84,144 ;43,618 ;13,744 ;26,875 ;8,311 ;95,237 ;29,534
2011;19,259 ;48,226 ;9,834 ;94,238 ;47,128 ;13,955 ;27,562 ;8,685 ;93,908 ;29,754
2012;21,168 ;54,120 ;11,175 ;104,097 ;49,327 ;14,228 ;28,864 ;9,145 ;94,380 ;28,522
2013;22,300 ;56,710 ;12,046 ;104,658 ;49,921 ;15,561 ;30,292 ;9,829 ;95,229 ;31,627
2014;18,785 ;45,868 ;10,842 ;92,552 ;42,939 ;15,941 ;31,125 ;10,344 ;95,085 ;31,951
2015;18,487 ;44,547 ;10,714 ;90,213 ;42,120 ;15,841 ;31,218 ;10,475 ;93,419 ;31,425
2016;16,293 ;40,296 ;9,664 ;83,837 ;38,750 ;15,712 ;31,068 ;10,284 ;92,101 ;30,985
2017;16,501 ;41,770 ;9,748 ;82,937 ;38,108 ;15,151 ;30,812 ;10,103 ;89,480 ;30,034
2018;17,236 ;43,740 ;10,001 ;82,016 ;38,406 ;15,079 ;30,994 ;10,096 ;89,189 ;27,247
2019;16,359 ;41,475 ;9,353 ;76,112 ;37,427 ;13,717 ;30,738 ;9,928 ;83,163 ;26,666
2020;16,138 ;41,045 ;9,209 ;75,455 ;36,810 ;-;-;-;14 ;-
Source;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad;Unicad
