Date;24919 - Number of POSs of financial institutions in the Central-West region - Units;24920 - Number of POSs of financial institutions in the Northeast region - Units;24921 - Number of POSs of financial institutions in the North region - Units;24922 - Number of POSs of financial institutions in the Southeast region - Units;24923 - Number of POSs of financial institutions in the South region - Units
2007;175,793 ;465,392 ;98,459 ;1,347,549 ;381,943
2008;233,741 ;572,911 ;126,943 ;1,735,995 ;507,310
2009;257,422 ;627,324 ;136,035 ;1,833,005 ;553,774
2010;262,643 ;637,112 ;135,318 ;1,840,372 ;543,932
2011;280,234 ;635,363 ;138,204 ;1,896,109 ;565,736
2012;328,470 ;644,234 ;152,865 ;2,257,751 ;713,108
2013;369,706 ;701,044 ;168,738 ;2,448,575 ;763,761
2014;400,918 ;792,344 ;208,229 ;2,729,086 ;854,024
2015;426,987 ;801,653 ;226,022 ;2,851,402 ;881,213
2016;424,966 ;738,735 ;217,545 ;2,794,309 ;905,838
2017;476,918 ;800,572 ;232,371 ;3,287,779 ;1,072,411
2018;886,355 ;1,454,116 ;398,618 ;5,686,623 ;1,756,636
2019;691,869 ;1,446,605 ;298,036 ;4,888,596 ;1,466,569
2020;1,113,036 ;2,137,004 ;526,932 ;7,717,800 ;2,147,117
Source;Unicad;Unicad;Unicad;Unicad;Unicad
