Estado,Sigla,Região
Rondônia,RO,North
Acre,AC,North
Amazonas,AM,North
Roraima,RR,North
Pará,PA,North
Amapá,AP,North
Tocantins,TO,North
Maranhão,MA,Northeast
Piauí,PI,Northeast
Ceará,CE,Northeast
Rio Grande do Norte,RN,Northeast
Paraíba,PB,Northeast
Pernambuco,PE,Northeast
Alagoas,AL,Northeast
Sergipe,SE,Northeast
Bahia,BA,Northeast
Minas Gerais,MG,Southeast
Espírito Santo,ES,Southeast
Rio de Janeiro,RJ,Southeast
São Paulo,SP,Southeast
Paraná,PR,South
Santa Catarina,SC,South
Rio Grande do Sul,RS,South
Mato Grosso do Sul,MS,Central-West
Mato Grosso,MT,Central-West
Goiás,GO,Central-West
Distrito Federal,DF,Central-West
